business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Ningbo Shangde International Trading Co., Ltd.",//sdpipes.en.alibaba.com/contactinfo.html,Gold Supplier,6,"herb grinder,smoking accessories,smoking pipe,metal pipe,hookah",//sdpipes.en.alibaba.com/company_profile.html#top-nav-bar
"Jiangshan Xiaoxiong Arts And Crafts Co., Ltd.",//xiaoxiong.en.alibaba.com/contactinfo.html,Gold Supplier,3,"tobacco pipe,smoking set,smoking pipe,mouthpiece,wooden box",//xiaoxiong.en.alibaba.com/company_profile.html#top-nav-bar
Yiwu Lvhe E-Commerce Firm,//lvhecompany.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Tobacco Grinder,Hookah,Smoking Pipe,Ashtray,Cigarette Case",//lvhecompany.en.alibaba.com/company_profile.html#top-nav-bar
A G BROTHERS,//in1046013630.trustpass.alibaba.com/contactinfo.html,Gold Supplier,6,"Saddles,Wooden Handicrafts,Glass Handicrafts,Horse tack",//in1046013630.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Rarelon Import & Export Ltd., Company",//rarelon.en.alibaba.com/contactinfo.html,Gold Supplier,1,"herb grinder,smoking pipe,rolling machine,hookah,cigarette case",//rarelon.en.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Tolly Trading Co., Ltd.",//tollycompany.en.alibaba.com/contactinfo.html,Gold Supplier,2,"HOOKHAS,HOOKAH ACCESSORIES,SMOKING PIPES,HERB GRINDERS,ASHTRAYS",//tollycompany.en.alibaba.com/company_profile.html#top-nav-bar
Panan County Jinlang Plastic Production Factory,//pajl.en.alibaba.com/contactinfo.html,Gold Supplier,8,"PVC Winding Pipe,Corrugated pipe,Hookah",//pajl.en.alibaba.com/company_profile.html#top-nav-bar
METIER LIFESTYLE PRODUCTS PRIVATE LIMITED,//shivamjw.trustpass.alibaba.com/contactinfo.html,Gold Supplier,5,"Gifts &amp; Crafts,Home Decor,Smoking Pipes,Hookah,Wooden Handicrafts",//shivamjw.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Fuzhou Xinyuanhua Electronics Technology Co., Ltd.",//xyh-hydro.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Bubble Bag,Dry Net,Grow Pot,Smoking accessories,Glass Dome",//xyh-hydro.en.alibaba.com/company_profile.html#top-nav-bar
Danyang Xunda ,//xundachina.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Cigarette Filter,cigarette holder,filter for cigarette,plastic cigarette filter,disposable cigarette filter",//xundachina.en.alibaba.com/company_profile.html#top-nav-bar
"Ningbo Shangde International Trading Co., Ltd.",//sdpipes.en.alibaba.com/contactinfo.html,Gold Supplier,6,"herb grinder,smoking accessories,smoking pipe,metal pipe,hookah",//sdpipes.en.alibaba.com/company_profile.html#top-nav-bar
"Jiangshan Xiaoxiong Arts And Crafts Co., Ltd.",//xiaoxiong.en.alibaba.com/contactinfo.html,Gold Supplier,3,"tobacco pipe,smoking set,smoking pipe,mouthpiece,wooden box",//xiaoxiong.en.alibaba.com/company_profile.html#top-nav-bar
Yiwu Lvhe E-Commerce Firm,//lvhecompany.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Tobacco Grinder,Hookah,Smoking Pipe,Ashtray,Cigarette Case",//lvhecompany.en.alibaba.com/company_profile.html#top-nav-bar
A G BROTHERS,//in1046013630.trustpass.alibaba.com/contactinfo.html,Gold Supplier,6,"Saddles,Wooden Handicrafts,Glass Handicrafts,Horse tack",//in1046013630.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Rarelon Import & Export Ltd., Company",//rarelon.en.alibaba.com/contactinfo.html,Gold Supplier,1,"herb grinder,smoking pipe,rolling machine,hookah,cigarette case",//rarelon.en.alibaba.com/company_profile.html#top-nav-bar
"Yiwu Tolly Trading Co., Ltd.",//tollycompany.en.alibaba.com/contactinfo.html,Gold Supplier,2,"HOOKHAS,HOOKAH ACCESSORIES,SMOKING PIPES,HERB GRINDERS,ASHTRAYS",//tollycompany.en.alibaba.com/company_profile.html#top-nav-bar
