,category,business_supplier,gold_status,gold_years,main_products,supplier_url,contacts_url
816,WomensClothing,"Xiamen Better Green Life Outdoor Gear Co., Ltd.  ",Gold Supplier,1.0,"padded jacket, waterproof jacket, ski jacket, softshell jacket, outdoor wear",https://bettergreenlife.en.alibaba.com/company_profile.html#top-nav-bar,https://bettergreenlife.en.alibaba.com/contactinfo.html
817,WomensClothing,"Hangzhou Lambda Sport Goods Co., Ltd.  ",Gold Supplier,10.0,"Bike Wear, Cycling Pants, Cycling Accessories, Sportswear, Cycling Jersey",https://lmdsport.en.alibaba.com/company_profile.html#top-nav-bar,https://lmdsport.en.alibaba.com/contactinfo.html
818,WomensClothing,JAPONICA ENTERPRISES  ,Gold Supplier,4.0,"Gloves, Jackets, Protection Jackets, Hunting Wears, Tactical Accessories",https://japonicaent.trustpass.alibaba.com/company_profile.html#top-nav-bar,https://japonicaent.trustpass.alibaba.com/contactinfo.html
819,WomensClothing,"Guangxi Zhongjian Sports And Leisure , Co., Ltd.  ",Gold Supplier,1.0,"football series, basketball series, training series, running series, sports and leisure series",https://chinjane1.en.alibaba.com/company_profile.html#top-nav-bar,https://chinjane1.en.alibaba.com/contactinfo.html
820,WomensClothing,"Fengcheng City River Garments Co., Ltd.  ",Gold Supplier,1.0,"SKI JACKET, DOWN JACKET, PADDING JACKET, PANT, COAT",https://ruiwoer.en.alibaba.com/company_profile.html#top-nav-bar,https://ruiwoer.en.alibaba.com/contactinfo.html
821,WomensClothing,"Dongguan Qeoksports Co., Limited  ",Gold Supplier,10.0,"Sportswear (Rugby Jersey, Hoodies, Polo T-shirt, Baseball Jersey, Hockey Wear",https://qeoksports.en.alibaba.com/company_profile.html#top-nav-bar,https://qeoksports.en.alibaba.com/contactinfo.html
822,WomensClothing,Ninghai Qiangjiao Jingyi Hardware Factory  ,Gold Supplier,4.0,"LED Headlamp, LED Flashlight, Sports Series, Hardware Products, Plastic Product",https://nhjingyi.en.alibaba.com/company_profile.html#top-nav-bar,https://nhjingyi.en.alibaba.com/contactinfo.html
823,WomensClothing,UTILITY ENTERPRISES (PRIVATE) LIMITED  ,Gold Supplier,3.0,"motorbike clothing, all kind of gloves, gym clothing, leather jackets, boxing range",https://pk1013827954.trustpass.alibaba.com/company_profile.html#top-nav-bar,https://pk1013827954.trustpass.alibaba.com/contactinfo.html
824,WomensClothing,"Wuhan Road Star Sporting Goods Co., Ltd.  ",Supplier,1.0,"Quick Dry T-shirt, Speed Skating Suit, Long Track Skin Suit, Cut Proof Short Track Skin Suit, Fleece Track Suit, Sweater, Tossel Cap, Training Suit",https://cnroadstar.en.alibaba.com/company_profile.html#top-nav-bar,https://cnroadstar.en.alibaba.com/contactinfo.html
825,WomensClothing,"Dongguan Gangyin , Co., Ltd.  ",Gold Supplier,1.0,"Men'wear, Women'wear, Sports goods, Sports clothing",https://gangyin.en.alibaba.com/company_profile.html#top-nav-bar,https://gangyin.en.alibaba.com/contactinfo.html
826,WomensClothing,"Xiamen Jerris Trade Co., Ltd.  ",Gold Supplier,10.0,"Women Clothes, swimwear, bodycon dress, fashion dress, sexy lingerie",https://flyri.en.alibaba.com/company_profile.html#top-nav-bar,https://flyri.en.alibaba.com/contactinfo.html
827,WomensClothing,"Shenzhen TaiTeWo Trade Co., Ltd.  ",Supplier,5.0,"Cycling Jersey, Cycling Underwear, Cycling Glasses, Cycling Helmet, Cycling Gloves",https://x-tiger.en.alibaba.com/company_profile.html#top-nav-bar,https://x-tiger.en.alibaba.com/contactinfo.html
828,WomensClothing,CUSTOM BRAND  ,Gold Supplier,2.0,"Varsity Jackets, American Football Uniforms, Baseball Uniforms, Basketball Uniforms, Soccer Uniforms",https://custombrandsialkot.trustpass.alibaba.com/company_profile.html#top-nav-bar,https://custombrandsialkot.trustpass.alibaba.com/contactinfo.html
829,WomensClothing,"Foshan Ruiniu , Co., Ltd.  ",Supplier,1.0,"Parka, Down Parka, Outdoor Jacket, Ski Parka, Jacket",https://ruiniu.en.alibaba.com/company_profile.html#top-nav-bar,https://ruiniu.en.alibaba.com/contactinfo.html
830,WomensClothing,"Jinjiang Amason Sports Co., Ltd.  ",Gold Supplier,8.0,"sport shoes, Casual shoes, Canvas shoes, Beach sandal",https://amason.en.alibaba.com/company_profile.html#top-nav-bar,https://amason.en.alibaba.com/contactinfo.html
831,WomensClothing,"Yiwu Shenzhen Technology Co., Ltd.  ",Gold Supplier,2.0,"electronic product, Daily life product manufacturers direct sales",https://shenzhenkj.en.alibaba.com/company_profile.html#top-nav-bar,https://shenzhenkj.en.alibaba.com/contactinfo.html
832,WomensClothing,"Shanghai Jiangxin Industry Co., Ltd.  ",Gold Supplier,1.0,"safety cap, protective gloves, safety clothing, safety shoes, Safety and Home",https://shlkg.en.alibaba.com/company_profile.html#top-nav-bar,https://shlkg.en.alibaba.com/contactinfo.html
833,WomensClothing,"Shanghai Powertec Industry Co., Ltd.  ",Gold Supplier,2.0,"Men wear, Women wear, Kids wear, Fabric, Uniforms",https://shpowertec.en.alibaba.com/company_profile.html#top-nav-bar,https://shpowertec.en.alibaba.com/contactinfo.html
834,WomensClothing,Shenzhen Ipretty Sports Company Limited  ,Gold Supplier,2.0,"Fitness Yoga wear, Sports wear, Yoga wear, Fitness wear, Gym wear",https://ipretty.en.alibaba.com/company_profile.html#top-nav-bar,https://ipretty.en.alibaba.com/contactinfo.html
835,WomensClothing,"Hefei Beauty International Trading Co., Ltd.  ",Gold Supplier,4.0,"OEM Ladies clothing, Children's clothing, Men's clothing, Bags, Shoes",https://beautydress.en.alibaba.com/company_profile.html#top-nav-bar,https://beautydress.en.alibaba.com/contactinfo.html
836,WomensClothing,"Shenzhen Hengyi Technology Co., Ltd.  ",Gold Supplier,2.0,"Health care, Make up tools, Body shaper, car accessory, 3c",https://huanyatech.en.alibaba.com/company_profile.html#top-nav-bar,https://huanyatech.en.alibaba.com/contactinfo.html
837,WomensClothing,"Dongguan Tao Yi , Co., Ltd.  ",Supplier,2.0,"T Shirt, Dress, Pants, Blazer, Jacket",https://taoyi168.en.alibaba.com/company_profile.html#top-nav-bar,https://taoyi168.en.alibaba.com/contactinfo.html
838,WomensClothing,"Yiwu G.S. Import & Export Co., Ltd.  ",Supplier,12.0,"Yoga Wear, Leggings, Blouse, Pants",https://gswear.en.alibaba.com/company_profile.html#top-nav-bar,https://gswear.en.alibaba.com/contactinfo.html
839,WomensClothing,"Xiamen Sourceman Import And Export Co., Ltd.  ",Gold Supplier,1.0,"t-shirt, leggings, jacket, bra, pants",https://cnsourceman.en.alibaba.com/company_profile.html#top-nav-bar,https://cnsourceman.en.alibaba.com/contactinfo.html
